"from","to","weight"
"BURT","TEDDY",NA
"DOCTOR","LEONARD","2.0"
"DODD","LEONARD","2.0"
"LEONARD","BLONDE",NA
"LEONARD","BURT","3.0"
"LEONARD","JIMMY",NA
"LEONARD","LEONARD'S WIFE",NA
"LEONARD","MAN",NA
"MAN","DODD",NA
"MRS JANKIS","LEONARD","2.0"
"NATALIE","LEONARD","7.0"
"SAMMY","DOCTOR","2.0"
"SAMMY","LEONARD","2.0"
"TATTOOIST","LEONARD","2.0"
"TEDDY","DODD",NA
"TEDDY","LEONARD","13.0"
"TEDDY","MAN",NA
"TEDDY","TATTOOIST",NA
"WAITER","LEONARD",NA
