"id","name","n","m","directed"
1,"1",52,314,FALSE
2,"2",52,314,FALSE
3,"3",52,314,FALSE
4,"4",52,314,FALSE
5,"5",52,314,FALSE
6,"6",52,314,FALSE
7,"7",52,314,FALSE
8,"8",52,314,FALSE
9,"9",52,314,FALSE
10,"10",52,314,FALSE
11,"11",52,314,FALSE
12,"12",52,314,FALSE
13,"13",52,314,FALSE
14,"14",52,314,FALSE
15,"15",52,314,FALSE
16,"16",52,314,FALSE
17,"17",52,314,FALSE
18,"18",52,314,FALSE
19,"19",52,314,FALSE
20,"20",52,314,FALSE
21,"21",52,314,FALSE
22,"22",52,314,FALSE
23,"23",52,314,FALSE
24,"24",52,314,FALSE
25,"25",52,314,FALSE
26,"26",52,314,FALSE
27,"27",52,314,FALSE
28,"28",52,314,FALSE
29,"29",52,314,FALSE
30,"30",52,314,FALSE
31,"31",52,314,FALSE
32,"32",52,314,FALSE
33,"33",52,314,FALSE
34,"34",52,314,FALSE
35,"35",52,314,FALSE
36,"36",52,314,FALSE
37,"37",52,314,FALSE
38,"38",52,314,FALSE
39,"39",52,314,FALSE
40,"40",52,314,FALSE
41,"41",52,314,FALSE
42,"42",52,314,FALSE
43,"43",52,314,FALSE
44,"44",52,314,FALSE
45,"45",52,314,FALSE
46,"46",52,314,FALSE
47,"47",52,314,FALSE
48,"48",52,314,FALSE
49,"49",52,314,FALSE
50,"50",52,314,FALSE
51,"51",52,314,FALSE
52,"52",52,314,FALSE
