"id","name","n","m","directed"
1,"1",16,200,TRUE
2,"2",16,200,TRUE
3,"3",16,200,TRUE
4,"4",16,200,TRUE
5,"5",16,200,TRUE
6,"6",16,200,TRUE
7,"7",16,200,TRUE
8,"8",16,200,TRUE
9,"9",16,200,TRUE
10,"10",16,200,TRUE
11,"11",16,200,TRUE
12,"12",16,200,TRUE
13,"13",16,200,TRUE
14,"14",16,200,TRUE
15,"15",16,200,TRUE
16,"16",16,200,TRUE
